Dilip B. Kotak	books/crc/IIR2005/BrennancGKNL05
Douglas H. Norrie	books/crc/IIR2005/BrennancGKNL05
Edwin H. van Leeuwen	books/crc/IIR2005/BrennancGKNL05
Paulo Portugal	books/crc/IIR2005/PortugalC05
Adriano Carvalho	books/crc/IIR2005/PortugalC05
Martin Buchwitz	books/crc/IIR2005/Buchwitz05
Frank Pospiech	books/crc/IIR2005/Pospiech05
Luca P. Carloni	books/crc/IIR2005/CarloniBSS05
Fernando De Bernardinis	books/crc/IIR2005/CarloniBSS05
Alberto L. Sangiovanni-Vincentelli	books/crc/IIR2005/CarloniBSS05
Marco Sgroi	books/crc/IIR2005/CarloniBSS05
Wolfgang Radinger	books/crc/IIR2005/RadingerJ05
Martin Jandl	books/crc/IIR2005/RadingerJ05
Salvatore Cavalieri	books/crc/IIR2005/Cavalieri05
José Ruela	books/crc/IIR2005/RuelaR05
Manuel Ricardo	books/crc/IIR2005/RuelaR05
Gianluca Cena	books/crc/IIR2005/CenaV05
Adriano Valenzano	books/crc/IIR2005/CenaV05
R. Andrew Russell	books/crc/IIR2005/Russell05
Wander O. Cesário	books/crc/IIR2005/CesarioWJ05
Flávio Rech Wagner	books/crc/IIR2005/CesarioWJ05
Ahmed Amine Jerraya	books/crc/IIR2005/CesarioWJ05
R. Andrew Russell	books/crc/IIR2005/Russell05a
Suvendi Chinnappen	books/crc/IIR2005/Chinnappen05
Henning Sanneck	books/crc/IIR2005/Sanneck05
Armando W. Colombo	books/crc/IIR2005/ColomboSN05
Ronald Schoop	books/crc/IIR2005/ColomboSN05
Ralf Neubert	books/crc/IIR2005/ColomboSN05
Thilo Sauter	books/crc/IIR2005/Sauter05
Jean-Dominique Decotignie	books/crc/IIR2005/Decotignie05
Günter Schäfer	books/crc/IIR2005/Schafer05
Jean-Dominique Decotignie	books/crc/IIR2005/Decotignie05a
Michael Scholles	books/crc/IIR2005/SchollesSN05
Uwe Schelinski	books/crc/IIR2005/SchollesSN05
Petra Nauber	books/crc/IIR2005/SchollesSN05
Eric Dekneuvel	books/crc/IIR2005/Dekneuvel05
Christian Schwaiger	books/crc/IIR2005/Schwaiger05
Christian Diedrich	books/crc/IIR2005/Diedrich05
Karlheinz Schwarz	books/crc/IIR2005/Schwarz05
Arjan Durresi	books/crc/IIR2005/DurresiJ05
Raj Jain	books/crc/IIR2005/DurresiJ05
Karlheinz Schwarz	books/crc/IIR2005/Schwarz05a
Klaus-Peter Eckert	books/crc/IIR2005/Eckert05
Michael Seyfarth	books/crc/IIR2005/SeyfarthK05
Andreas Kahmen	books/crc/IIR2005/SeyfarthK05
Klaus-Peter Eckert	books/crc/IIR2005/Eckert05a
Dorgham Sisalem	books/crc/IIR2005/SisalemW05
